night_of,average_darkness,median_darkness,mean_cloud_cover,mean_snow_cover
2024-10-03,20.005945945945953,20.03,3.2083333333333335,0.0
2024-10-04,19.139107142857142,19.03,36.666666666666664,0.0
2024-10-05,20.176607142857144,20.3,12.208333333333334,0.0
2024-10-06,19.91142857142857,19.99,10.458333333333334,0.0
2024-10-07,20.347943925233643,20.41,2.9583333333333335,0.0
2024-10-08,20.244199999999996,20.27,0.375,0.0
2024-10-09,20.255164835164834,20.25,1.0833333333333333,0.0
2024-10-10,20.31987341772151,20.34,1.2083333333333333,0.0
2024-10-11,19.838939393939395,19.87,11.0,0.0
2024-10-15,19.261666666666667,19.185000000000002,23.75,0.0
2024-10-16,,,2.125,0.0
2024-10-17,,,1.2916666666666667,0.0
2024-10-18,,,0.125,0.0
2024-10-19,,,5.708333333333333,0.0
